course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,idx,name,cntry,gender,age,budam,jockey,trainer,owner,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2,predict
1200,5,3,4.5,66,15,-1,-1,-1,-1,124,6,낙원세상,한,거,4,56.5,권동석,김성오,박영춘,307,1, 9,6,11,1658,22,2,3,9,13,19,2,3,10,15,4,0.0,25.0,845,864,875,2255,227,239,10,10,253,16,26,6,10,7582,614,728,8,9,350,31,29,8,8,863.91
1200,5,3,5,400,15,-1,55,-1,-1,74,5,청암호,한,수,4,57,김이랑,강대은,정동진,338,6, 9,6,11,1650,19,3,3,15,15,13,1,1,7,7,6,16.7,50.0,845,864,882,5408,490,593,9,10,337,28,37,8,10,5183,573,548,11,10,359,38,30,10,8,866.03
1200,5,3,3.5,0,22,-1,-1,-1,-1,117,7,마리아,한,암,3,55,김홍권,심도연,강길자,307,0, 9,6,11,1293,13,4,1,30,7,11,4,1,36,9,2,100.0,100.0,842,844,846,970,112,98,11,10,411,50,41,12,9,3302,435,385,13,11,380,43,43,11,11,864.83
1200,5,3,0.5,-36,28,-1,-1,-1,-1,135,8,강력추천,한,암,3,56.5,박기영,정영수,문석현,293,-1, 9,6,11,1328,7,3,2,42,28,7,3,2,42,28,2,50.0,100.0,859,871,884,5783,567,577,9,9,209,14,13,6,6,3255,308,353,9,10,378,50,42,13,11,867.07
1200,5,3,4.0,0,22,-1,120,-1,-1,15,9,해동요순,한,암,2,55.5,원유일,한상배,신종창,313,0, 9,6,11,939,10,3,1,30,10,10,3,1,30,10,2,50.0,50.0,860,866,873,2142,211,209,9,9,431,34,43,7,9,7104,794,842,11,11,524,52,50,9,9,866.84
1200,5,3,-0.5,-1,-1,-1,-1,-1,-1,-1,10,★정복황제,한,수,5,56.5,김용섭,강영진,조태만,324,2, 9,6,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7449,1205,923,16,12,290,47,36,16,12,2815,328,348,11,12,450,57,68,12,15,869.64
1200,5,3,2.5,35,28,137,-1,-1,-1,-1,2,진주명성,한,암,3,56.5,김준호,강영진,변창순,302,1, 9,6,11,1269,15,1,5,6,33,15,1,5,6,33,1,0.0,0.0,870,870,870,994,121,98,12,9,472,68,57,14,12,2815,328,348,11,12,450,57,68,12,15,867.5
1200,5,3,5.5,-112,36,59,-1,-1,71,-1,3,재벌가,한,수,3,55.5,김경훈,이준호,김한진,304,-4, 9,6,11,1355,15,1,4,6,26,14,1,3,7,21,3,33.3,66.7,845,853,861,4793,546,584,11,12,359,46,44,12,12,3891,413,432,10,11,419,35,50,8,11,867.43
1200,5,3,1.5,1000,16,-1,-1,-1,-1,108,4,미라클,한,암,5,53,박성광,이태용,윤은옥,296,16, 9,6,11,2003,30,4,0,13,0,6,1,0,16,0,4,0.0,0.0,855,868,890,9,0,1,0,11,9,0,1,0,11,2210,350,278,15,12,391,67,50,17,12,865.13
1200,5,3,-0.5,142,56,-1,-1,-1,90,55,1,금천,한,수,3,56.5,나유나,정영수,한병용,325,8, 9,6,11,1205,8,1,5,12,62,8,1,5,12,62,-1,-1,-1,-1,-1,-1,2563,263,245,10,9,244,11,21,4,8,3255,308,353,9,10,378,50,42,13,11,871.73
