,course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,idx,cntry,gender,age,budam,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2
0,1200,5,1,-3,81,49,-1,-1,-1,94,12,5,0,0,3,52,494.0,4,10,11,11,1374,14,7,2,50,14,10,6,0,60,0,7,42.9,71.4,736,745,772,691,103,93,14,13,448,67,74,14,16,1273,167,132,13,10,252,39,32,15,12
1,1200,5,1,1.5,-36,28,-1,-1,-1,183,-1,6,4,1,5,53,490.0,-1,10,11,11,2086,29,3,7,10,24,10,0,2,0,20,1,100.0,100.0,757,757,757,61,3,0,4,0,61,3,0,4,0,7675,719,726,9,9,249,31,28,12,11
2,1200,5,1,-5,-72,168,-1,-1,-1,147,16,7,4,1,4,53,472.0,-12,10,11,11,1761,10,5,1,50,10,3,1,0,33,0,4,50.0,50.0,717,745,767,83,9,9,10,10,83,9,9,10,10,1723,146,141,8,8,206,22,13,10,6
3,1200,5,1,2.0,357,28,-1,-1,-1,22,113,8,4,2,4,56.5,499.0,10,10,11,11,1717,25,5,2,20,8,10,0,1,0,10,5,40.0,40.0,734,740,750,453,65,43,14,9,339,50,35,14,10,8885,769,823,8,9,289,21,30,7,10
4,1200,5,1,0.5,210,57,-1,147,-1,-1,-1,9,0,2,4,53,500.0,12,10,11,11,1702,19,7,2,36,10,8,2,1,25,12,5,80.0,100.0,722,742,761,6520,1320,988,20,15,494,111,72,22,14,5264,389,430,7,8,179,10,11,5,6
5,1200,5,1,1.5,-72,28,-1,-1,-1,128,-1,2,4,2,5,53.5,475.0,-2,10,11,11,2061,22,5,2,22,9,8,0,2,0,25,7,14.3,14.3,729,743,761,4142,310,307,7,7,60,3,3,5,5,2123,192,207,9,9,451,41,44,9,9
6,1200,5,1,-1.5,-139,36,-1,-1,-1,124,11,10,0,1,4,52,448.0,-5,10,11,11,1737,17,6,4,35,23,9,1,3,11,33,2,50.0,50.0,738,752,766,2556,355,274,13,10,244,21,30,8,12,3822,348,352,9,9,181,13,18,7,9
7,1200,5,1,0,0,36,-1,-1,-1,113,-1,1,0,1,6,52,478.0,0,10,11,11,2428,38,5,5,13,13,10,0,0,0,0,15,33.3,40.0,728,746,779,870,69,82,7,9,362,30,34,8,9,1096,91,93,8,8,339,22,26,6,7
8,1200,5,1,-0.5,119,42,-1,-1,-1,-1,108,4,4,1,6,52,475.0,5,10,11,11,2485,23,5,5,21,21,7,1,0,14,0,5,20.0,80.0,731,738,753,1984,167,183,8,9,165,20,13,12,7,6159,739,694,11,11,349,30,34,8,9
9,1200,5,1,1.5,0,28,-1,190,-1,-1,-1,3,0,1,4,56,480.0,0,10,11,11,1717,23,7,7,30,30,9,1,3,11,33,5,40.0,60.0,728,746,764,2526,187,221,7,8,151,19,23,12,15,7303,691,749,9,10,272,42,34,15,12
