course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,idx,cntry,gender,age,budam,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2
1000,8,6,0.0,111,27,-1,-1,-1,10,122,3,0,0,2,52.0,466,3,8,1,11,959,1,0,0,0,0,1,0,0,0,0,1,0.0,0.0,632,632.0,632.0,2718,203,216,7,7,449,37,41,8,9,8878,768,823,8,9,290,22,31,7,10
1000,8,6,0.0,85,35,-1,56,-1,103,-1,7,0,0,2,52.0,459,3,8,1,11,957,1,0,0,0,0,1,0,0,0,0,1,0.0,0.0,663,663.0,663.0,1417,74,111,5,7,588,34,39,5,6,3447,301,308,8,8,169,34,19,20,11
1000,8,6,0.0,-38,27,-1,-1,-1,86,97,8,0,0,2,52.0,464,-1,8,1,11,996,1,0,0,0,0,1,0,0,0,0,1,0.0,0.0,648,648.0,648.0,5362,396,469,7,8,260,20,14,7,5,4073,302,318,7,7,177,9,15,5,8
1000,8,6,0.0,-75,27,-1,-1,-1,-1,127,6,0,0,2,52.0,486,-2,8,1,11,974,1,0,0,0,0,1,0,0,0,0,1,0.0,0.0,646,646.0,646.0,2846,217,219,7,7,437,36,39,8,8,4258,276,363,6,8,176,8,18,4,10
1000,8,6,2.0,107,28,-1,-1,-1,-1,131,2,0,0,2,52.0,440,3,8,1,11,982,1,0,0,0,0,1,0,0,0,0,1,0.0,0.0,625,625.0,625.0,1906,133,140,6,7,526,37,39,7,7,4568,370,396,8,8,254,14,12,5,4
1000,8,6,0.0,416,48,-1,-1,-1,-1,114,5,0,0,2,52.0,485,20,8,1,11,940,1,0,0,0,0,1,0,0,0,0,1,0.0,0.0,654,654.0,654.0,1247,89,72,7,5,208,15,11,7,5,8794,890,894,10,10,237,18,26,7,10
1000,8,6,0.0,-33,91,-1,-1,-1,92,-1,1,0,1,2,54.0,463,-3,8,1,11,963,2,0,0,0,0,2,0,0,0,0,1,0.0,0.0,658,658.0,658.0,5007,627,624,12,12,266,33,41,12,15,970,83,103,8,10,280,24,24,8,8
1000,8,6,0.0,-1,-1,-1,-1,-1,110,51,4,0,2,2,54.0,446,-20,8,1,11,962,0,0,0,0,0,0,0,0,0,0,-1,-1.0,-1.0,-1,-1.0,-1.0,441,64,41,14,9,334,50,33,14,9,9988,903,967,9,9,319,35,29,10,9
1000,8,6,-0.5,-286,28,-1,-1,-1,-1,164,6,0,1,2,54.0,465,-8,8,2,11,939,3,0,0,0,0,3,0,0,0,0,3,0.0,0.0,629,633.0,638.0,1179,69,75,5,6,89,4,2,4,2,4258,276,363,6,8,176,8,18,4,10
1000,8,6,0.0,-25,41,-1,-1,-1,88,34,5,0,2,2,54.0,454,-1,8,2,11,925,1,0,0,0,0,1,0,0,0,0,1,0.0,0.0,636,636.0,636.0,675,101,90,14,13,441,68,71,15,16,1268,166,131,13,10,256,41,31,16,12
