course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,ts6,score1,score2,score3,score4,score5,score6,score7,idx,name,cntry,gender,age,budam,jockey,trainer,owner,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2,predict
1300,4,5,-0.5,0,41,0,0,0,0,94,94,667.664670659,648.70259481,779.462489279,838.760664225,897.25614851,1142.496707,829.057212414,1,화이트큐피드,한,암,4,51.5,정정희,유재길,오왕근,-1,0,10,7,12,1685,22,2,2,9,9,9,0,0,0,0,9,11.1,22.2,826,837,869,668,31,38,4,5,252,14,15,5,5,4584,372,396,8,8,255,15,12,5,4,844.96
1300,4,5,-3.5,0,27,0,0,0,172,0,172,698.097798397,645.708582834,772.102790111,845.006661002,903.3792085,1142.496707,834.465291307,10,천왕별,한,수,3,52.5,유승완,최영주,류근상,-1,0,10,7,12,1282,12,0,2,0,16,11,0,2,0,18,7,0.0,28.6,839,845,852,2881,219,222,7,7,439,31,41,7,9,4082,303,319,7,7,173,9,14,5,8,844.75
1300,4,5,-1.0,0,98,0,14,0,148,0,162,660.33966034,638.4116297,791.444580782,851.980049401,903.3792085,1138.0,830.592521454,2,꿈꾸는대로,한,거,3,53.5,김정준,우창구,이보원,-1,0,10,7,12,1337,9,1,0,11,0,7,1,0,14,0,4,25.0,25.0,834,848,873,1197,70,77,5,6,107,5,4,4,3,2082,218,176,10,8,279,30,30,10,10,850.28
1300,4,5,-1,0,21,0,0,0,28,89,117,663.519466711,627.64123721,768.47854906,838.92472538,903.910379415,1142.496707,824.161844129,3,과천대왕,한,거,6,54,이동국,손영표,정찬헌,-1,0,10,7,12,2428,42,2,2,4,4,13,1,0,7,0,21,0.0,4.8,811,838,888,3088,210,240,6,7,111,4,2,3,1,2186,199,187,9,8,215,14,12,6,5,839.08
1300,4,5,-0.5,0,35,0,0,0,45,45,90,668.662674651,621.756487026,770.136605034,826.321877977,903.3792085,1142.496707,822.125593365,9,날음의영혼,한,거,3,55.5,페로비치,박재우,최기영,-1,0,10,7,12,1354,8,1,1,12,12,8,1,1,12,12,5,0.0,20.0,816,826,831,723,108,98,14,13,451,70,76,15,16,1285,168,133,13,10,256,39,33,15,12,833.07
1300,4,5,-1,0,27,0,0,0,0,107,107,668.662674651,630.833091881,786.076305221,840.548335308,903.124332837,1141.36219024,828.434488357,5,루나챔프,한,거,4,51,이아나,정지은,권광세,-1,0,10,7,12,1696,28,0,2,0,7,11,0,0,0,0,13,0.0,15.4,812,839,854,1006,49,44,4,4,103,5,3,4,2,8241,733,837,8,10,196,16,12,8,6,843.24
1300,4,5,-2,0,27,0,0,0,14,100,114,636.363636364,631.030658377,766.233766234,842.685370741,903.3792085,1142.496707,820.364891203,6,마이슈거,한,수,3,51,하정훈,박천서,장철환,-1,0,10,7,12,1320,7,0,1,0,14,7,0,1,0,14,2,0.0,0.0,836,838,841,335,19,23,5,6,284,17,22,5,7,3367,346,328,10,9,213,22,20,10,9,844.12
1300,4,5,0.5,0,28,0,0,0,68,0,68,682.256986042,642.073778664,769.230769231,827.716108133,901.567955493,1158.84115884,830.281126067,7,손오공,한,수,4,57,조성곤,양재철,김윤기,-1,0,10,7,12,1719,18,1,0,5,0,11,0,0,0,0,9,0.0,0.0,818,826,835,4621,712,611,15,13,443,55,41,12,9,6717,536,581,7,8,144,12,9,8,6,830.23
1300,4,5,-2,0,28,0,0,0,126,0,126,638.769448626,632.868661283,759.902543673,846.846846847,903.3792085,1142.496707,820.710569322,8,기모아런치,한,거,3,51,이동하,안병기,박상선,-1,0,10,7,12,1387,6,1,1,16,16,3,1,1,33,33,1,0.0,0.0,846,846,846,99,9,9,9,9,99,9,9,9,9,2262,214,207,9,9,182,14,16,7,8,847.36
1300,4,5,-2.0,0,34,0,0,0,0,112,112,649.527119587,638.4116297,778.778778779,835.425159518,903.3792085,1142.496707,824.669767181,4,은빛바다,한,수,3,53.5,장추열,배대선,박상헌,-1,0,10,7,12,1344,4,1,0,25,0,4,1,0,25,0,3,0.0,0.0,829,834,837,1999,171,183,8,9,166,24,13,14,7,6178,744,695,12,11,353,35,34,9,9,838.69
