course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,ts6,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,idx,name,cntry,gender,age,budam,jockey,trainer,owner,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2,predict
1000,7,4,-2.5,111,27,0,0,0,10,117,127,661.586048026,634.37680427,772.875251595,839.632041428,891.400759666,1136.55118058,822.73701426,628.324978088,634.37680427,643.310064837,1,라피드고,미,수,2,51.5,이동하,하재흥,정복남,497.0,3,11,6,12,944,2,0,0,0.0,0.0,2,0,0,0.0,0.0,0,0.0,0.0,630.939483663,636.991309845,645.924570413,107,10,9,9,8,107,10,9,9,8,10022,905,967,9,9,327,34,28,10,8,626.54
1000,7,4,1.0,-72,28,0,0,0,131,11,142,643.402528512,621.732197331,760.10833511,839.632041428,891.400759666,1136.55118058,815.47117377,621.732197331,621.732197331,621.732197331,10,캡틴박,미,수,2,54.5,함완식,안병기,박재범,469.0,-2,11,6,12,993,2,0,0,0.0,0.0,2,0,0,0.0,0.0,2,0.0,0.0,631.0,638.0,646.0,5030,630,628,12,12,262,34,41,12,15,2269,214,207,9,9,189,14,16,7,8,624.03
1000,7,4,0,0,1000,0,0,0,76,72,148,645.878690827,634.37680427,760.10833511,839.632041428,891.400759666,1136.55118058,817.991301979,628.324978088,634.37680427,643.310064837,11,삼성불패,미,거,2,55,조인권,박대흥,김병진,486.0,-16,11,6,12,935,0,0,0,6.69081406265,8.1482969645,0,0,0,6.17188062064,7.82825565933,0,0.0,0.0,630.939483663,636.991309845,645.924570413,2589,358,281,13,10,277,24,37,8,13,5386,725,584,13,10,283,43,22,15,7,631.58
1000,7,4,3,0,21,0,0,0,121,0,121,633.132654169,624.488230164,760.10833511,839.632041428,891.400759666,1136.55118058,814.218866852,619.761572299,624.488230164,629.214888028,2,애팔래치아봄,미,수,2,55,조성곤,안병기,홍종운,459.0,0,11,6,12,1008,3,0,0,0.0,0.0,3,0,0,0.0,0.0,3,0.0,0.0,626.0,627.0,629.0,4629,712,611,15,13,451,55,41,12,9,2269,214,207,9,9,189,14,16,7,8,623.16
1000,7,4,1.5,-149,27,0,0,0,77,70,147,631.650586547,634.37680427,760.10833511,822.742433617,890.34233782,1136.55118058,812.62861299,628.324978088,634.37680427,643.310064837,3,반야동행,미,수,2,54.5,임기원,구자흥,한명로,470.0,-4,11,6,12,1009,3,0,0,0.0,0.0,3,0,0,0.0,0.0,0,0.0,0.0,630.939483663,636.991309845,645.924570413,903,106,81,11,8,435,48,46,11,10,1088,107,123,9,11,186,22,24,11,12,624.07
1000,7,4,1.5,428,28,0,0,0,18,103,121,644.932108561,634.37680427,760.10833511,839.632041428,891.400759666,1136.55118058,817.833538268,628.324978088,634.37680427,643.310064837,9,관악함성,미,수,2,55,최범현,이관호,황의영,471.0,12,11,6,12,981,1,0,0,0.0,0.0,1,0,0,0.0,0.0,1,0.0,0.0,658.0,658.0,658.0,5640,698,655,12,11,234,37,32,15,13,574,74,43,12,7,211,33,19,15,9,628.14
1000,7,4,1.5,166,42,0,0,0,249,0,249,649.041113909,631.243456733,781.491108135,839.632041428,891.400759666,1136.55118058,821.559943408,631.243456733,631.243456733,631.243456733,5,정상특급,미,수,2,54,부민호,박희철,정동진,479.0,7,11,6,12,950,3,0,0,0.0,0.0,3,0,0,0.0,0.0,1,0.0,0.0,629.0,629.0,629.0,1307,98,83,7,6,93,2,6,2,6,3921,339,360,8,9,273,17,20,6,7,629.08
1000,7,4,0,0,1000,0,0,0,32,62,94,669.582389775,634.37680427,760.10833511,839.632041428,891.400759666,1136.55118058,821.941918471,628.324978088,634.37680427,643.310064837,6,베스트예지,미,암,2,53,페로비치,박재우,베스트샤인조합,486.0,2,11,6,12,947,0,0,0,6.69081406265,8.1482969645,0,0,0,6.17188062064,7.82825565933,0,0.0,0.0,630.939483663,636.991309845,645.924570413,740,114,99,15,13,455,73,75,16,16,1294,171,133,13,10,259,42,33,16,12,629.61
1000,7,4,0,148,27,0,0,0,36,69,105,635.129114237,634.37680427,771.655988074,839.632041428,891.400759666,1136.55118058,818.124314708,628.324978088,634.37680427,643.310064837,7,소중한만남,미,수,2,51,이철경,서인석,최동천,462.0,4,11,6,12,937,3,0,0,0.0,0.0,3,0,0,0.0,0.0,0,0.0,0.0,630.939483663,636.991309845,645.924570413,92,2,7,2,7,92,2,7,2,7,2150,193,214,8,9,442,38,48,8,10,629.29
1000,7,4,1.5,178,28,0,0,0,14,98,112,643.076550798,634.37680427,760.10833511,839.632041428,891.400759666,1136.55118058,817.524278641,628.324978088,634.37680427,643.310064837,8,대한천하,미,거,2,55,이혁,이희영,서순배,482.0,5,11,6,12,951,1,0,0,0.0,0.0,1,0,0,0.0,0.0,1,0.0,0.0,645.0,645.0,645.0,1947,137,142,7,7,526,37,40,7,7,7421,599,657,8,8,199,18,18,9,9,629.0
1000,7,4,1.5,-48,42,0,0,0,35,84,119,655.078061675,634.37680427,782.847835487,839.632041428,891.400759666,1136.55118058,823.314447184,628.324978088,634.37680427,643.310064837,4,본워리어,미,거,2,54.5,김철호,박재우,김정성,489.0,-2,11,6,12,966,2,0,0,0.0,0.0,2,0,0,0.0,0.0,0,0.0,0.0,630.939483663,636.991309845,645.924570413,1535,122,113,7,7,205,16,19,7,9,1294,171,133,13,10,259,42,33,16,12,628.59
