course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,ts6,score1,score2,score3,score4,score5,score6,score7,idx,cntry,gender,age,budam,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2
1200,5,6,0,0,1000,0,109,0,0,51,160,-0.996015936255,638.4116297,775.2310909,843.1374421,903.3792085,1142.496707,716.943343711,1,0,1,2,54,-1,0,11,3,12,915,0,0,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,3037,270,269,8,8,329,32,24,9,7,8241,733,837,8,10,196,16,12,8,6
1200,5,6,0,0,1000,0,0,0,0,102,102,638.4116297,638.4116297,775.2310909,843.1374421,903.3792085,1142.496707,823.51128465,10,0,0,2,52,-1,0,11,3,12,1009,0,0,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1999,171,183,8,9,166,24,13,14,7,6178,744,695,12,11,353,35,34,9,9
1200,5,6,0,0,1000,0,0,0,148,28,176,677.677677678,638.4116297,775.2310909,843.1374421,903.3792085,1142.496707,830.05562598,11,0,1,2,54,-1,0,11,3,12,961,0,0,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,2881,219,222,7,7,439,31,41,7,9,692,105,76,15,10,187,21,16,11,8
1200,5,6,0,0,1000,0,0,0,128,9,137,659.362549801,638.4116297,775.2310909,843.1374421,903.3792085,1142.496707,827.003104667,2,0,1,2,54,-1,0,11,3,12,1020,0,0,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,6546,1327,993,20,15,487,110,72,22,14,1311,102,107,7,8,179,14,8,7,4
1200,5,6,0,0,20,32,0,0,0,89,121,431.356067085,638.4116297,775.2310909,843.1374421,903.3792085,1142.496707,789.002024214,3,0,1,2,54,-1,0,11,3,12,973,1,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,723,108,98,14,13,451,70,76,15,16,2863,229,246,7,8,247,15,31,6,12
1200,5,6,1,0,56,0,0,0,15,87,102,663.026042839,638.4116297,775.2310909,843.1374421,903.3792085,1142.496707,827.61368684,9,0,1,2,55,-1,0,11,3,12,967,1,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,5635,696,655,12,11,236,37,34,15,14,1291,195,110,15,8,294,34,23,11,7
1200,5,6,0,0,1000,0,0,0,0,137,137,638.4116297,638.4116297,775.2310909,843.1374421,903.3792085,1142.496707,823.51128465,5,0,0,2,52,-1,0,11,3,12,958,0,0,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,3088,210,240,6,7,111,4,2,3,1,2186,199,187,9,8,215,14,12,6,5
1200,5,6,1,0,27,0,0,0,0,105,105,652.347652348,638.4116297,775.2310909,843.1374421,903.3792085,1142.496707,825.833955091,6,0,2,2,55,-1,0,11,3,12,946,1,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,469,68,43,14,9,338,51,33,15,9,5380,723,584,13,10,285,41,22,14,7
1200,5,6,1.5,0,35,0,0,0,0,204,204,330.650689062,634.730538922,775.2310909,843.1374421,903.3792085,1142.496707,771.604279414,7,0,1,2,55.5,-1,0,11,3,12,971,2,0,1,0,50,2,0,1,0,50,-1,-1,-1,-1,-1,-1,431,43,40,9,9,315,33,35,10,11,3224,239,275,7,8,303,23,28,7,9
1200,5,6,0,0,1000,0,0,0,13,115,128,-1.00068140045,638.4116297,775.2310909,843.1374421,903.3792085,1142.496707,716.942566133,8,0,1,2,54,-1,0,11,3,12,958,0,0,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,894,105,80,11,8,434,48,45,11,10,1285,168,133,13,10,256,39,33,15,12
1200,5,6,0,0,1000,0,73,0,0,61,134,603.324519299,638.4116297,775.2310909,843.1374421,903.3792085,1142.496707,817.663432916,4,0,1,2,54,-1,0,11,3,12,994,0,0,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,2502,289,290,11,11,235,37,40,15,17,3460,302,310,8,8,170,34,20,20,11
