course,humidity,kind,dbudam,drweight,lastday,idx,cntry,gender,age,budam,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2
1000,3,6,1,275,29,1,0,0,2,53.5,484,8,10,2,12,1000,5,0,0,0.0,0.0,5,0,0,0.0,0.0,109,4,5,3,4,109,4,5,3,4,10557,809,932,7,8,337,23,25,6,7
1000,3,6,4,68,29,10,0,0,3,55,467,2,10,2,12,1337,6,0,0,0.0,0.0,6,0,0,0.0,0.0,1656,100,132,6,7,244,16,14,6,5,8250,734,839,8,10,194,14,14,7,7
1000,3,6,1,46,43,2,0,2,2,55.5,450,2,10,2,12,1035,6,0,0,0.0,0.0,6,0,0,0.0,0.0,1260,89,73,7,5,189,13,12,6,6,3670,276,302,7,8,317,21,39,6,12
1000,3,6,1,-36,28,3,0,0,2,53.5,468,-1,10,2,12,996,2,0,0,0.0,0.0,2,0,0,0.0,0.0,3060,115,143,3,4,105,4,8,3,7,8059,694,705,8,8,152,3,8,1,5
1000,3,6,0,-40,50,9,0,0,3,55,430,-2,10,2,12,1398,4,0,0,0.0,0.0,4,0,0,0.0,0.0,754,115,101,15,13,460,73,77,15,16,1300,171,134,13,10,259,41,34,15,13
1000,3,6,0,325,43,5,0,2,3,57,465,14,10,2,12,1319,9,0,1,0.0,11.0,8,0,1,0.0,12.0,5041,633,629,12,12,269,37,41,13,15,3927,339,360,8,9,275,17,20,6,7
1000,3,6,0,0,100,6,0,1,3,56,498,4,10,2,12,1345,0,0,0,6.44577953277,8.55935647459,0,0,0,5.98217716013,8.38167672762,681,33,41,4,6,265,16,18,6,6,111,3,10,2,9,111,3,10,2,9
1000,3,6,1,333,36,7,0,2,3,57,470,12,10,2,12,1328,3,0,0,0.0,0.0,3,0,0,0.0,0.0,905,74,84,8,9,367,31,30,8,8,3374,346,328,10,9,209,21,19,10,9
1000,3,6,1,140,71,8,0,0,3,55,453,10,10,2,12,1329,6,0,0,0.0,0.0,6,0,0,0.0,0.0,918,109,84,11,9,443,51,49,11,11,2200,144,179,6,8,160,9,8,5,5
1000,3,6,1,95,21,4,0,0,3,55,448,2,10,2,12,1367,8,0,0,0.0,0.0,8,0,0,0.0,0.0,1610,109,143,6,8,66,6,4,9,6,8815,896,897,10,10,230,21,26,9,11
