course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,ts6,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,idx,cntry,gender,age,budam,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2
1400,18,2,1,-115,35,0,53,0,0,30,83,617,611,748,816,879,1105,832,873,879,882,1,0,0,3,52,478,-4,12,14,12,1347,11,5,0,45,0,10,5,0,50,0,4,0,0,878,884,891,2514,290,291,11.0,11.0,221,35,35,15.0,15.0,652,49,42,7,6,164,16,6,9,3
1400,18,2,3,323,34,0,45,0,60,34,139,623,640,759,814,877,1161,840,870,877,884,10,0,1,3,52,466,11,12,14,12,1391,18,3,3,16,16,11,3,3,27,27,3,33,66,874,878,884,5654,699,657,12.0,11.0,236,38,31,16.0,13.0,2097,218,178,10,8,272,30,30,11,11
1400,18,2,0,0,27,0,0,0,125,0,125,623,623,764,823,877,1116,840,873,877,882,11,0,1,4,53,507,0,12,14,12,1737,19,5,1,26,5,8,2,0,25,0,6,33,33,875,880,887,2908,221,224,7.0,7.0,417,31,39,7.0,9.0,1195,121,110,10,9,210,19,27,9,12
1400,18,2,0,74,27,0,105,0,15,0,120,609,617,744,816,881,1140,833,873,881,888,12,0,2,5,54,457,2,12,14,12,2109,30,5,5,16,16,10,0,0,0,0,8,0,25,874,881,888,4261,354,348,8.0,8.0,67,2,5,2.0,7.0,3937,339,362,8,9,271,17,22,6,8
1400,18,2,2,60,182,0,0,0,161,0,161,638,625,755,826,867,1127,843,867,867,867,2,4,1,4,53,485,11,12,14,12,1681,13,3,1,23,7,4,1,0,25,0,5,20,40,868,880,896,4153,310,308,7.0,7.0,64,2,4,3.0,6.0,2466,224,188,9,7,231,25,11,10,4
1400,18,2,0,185,27,0,94,0,0,0,94,617,617,751,799,878,1121,832,858,878,900,9,4,1,3,54,491,5,12,14,12,1332,13,2,3,15,23,11,2,3,18,27,6,16,33,863,885,910,0,0,0,9.09794344731,8.5295176472,0,0,0,8.96593129973,8.5251696633,3270,304,342,9,10,311,38,28,12,9
1400,18,2,3,142,42,0,0,0,0,105,105,648,620,745,819,871,1109,835,871,871,872,4,7,1,3,57,479,6,12,14,12,1174,6,3,2,50,33,6,3,2,50,33,2,50,100,872,873,874,2022,172,185,8.0,9.0,169,20,12,11.0,7.0,6205,745,698,12,11,354,31,34,8,9
1400,18,2,1,0,34,137,0,0,18,13,168,634,630,765,832,891,1125,849,889,900,913,5,4,1,4,54.5,521,0,12,14,12,1712,21,4,4,19,19,7,0,1,0,14,5,0,20,877,892,906,4646,714,613,15.0,13.0,452,55,41,12.0,9.0,825,45,57,5,6,186,11,14,5,7
1400,18,2,3,166,48,0,0,0,45,81,126,618,618,739,817,879,1107,833,876,879,883,6,4,1,5,54.5,508,8,12,14,12,2069,22,2,3,9,13,8,0,1,0,12,9,11,22,870,886,907,2765,209,220,7.0,7.0,418,38,43,9.0,10.0,8907,770,823,8,9,278,16,26,5,9
1400,18,2,0,74,27,0,0,0,0,109,109,640,626,757,827,881,1120,843,874,881,891,7,0,1,3,51,470,2,12,14,12,1404,12,5,1,41,8,6,3,1,50,16,7,28,42,867,882,892,930,110,86,11.0,9.0,444,52,50,11.0,11.0,7700,721,728,9,9,238,31,27,13,11
1400,18,2,0,-75,27,0,0,0,170,0,170,614,614,739,811,877,1099,827,872,877,883,8,0,2,4,56.5,534,-2,12,14,12,1712,17,5,4,29,23,8,2,2,25,25,8,37,50,862,877,888,2609,362,281,13.0,10.0,297,28,37,9.0,12.0,699,90,81,12,11,259,40,39,15,15
1400,18,2,1,244,49,0,184,0,0,0,184,628,622,744,822,888,1101,838,879,888,896,3,4,1,3,55,525,12,12,14,12,1405,8,3,1,37,12,5,2,1,40,20,4,50,75,865,882,901,5049,634,630,12.0,12.0,256,35,38,13.0,14.0,3270,304,342,9,10,311,38,28,12,9
